EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,1,1,1,1,1,3,3,1,12,hämarik; päike; friedrich; koit; faehlmann; robert
4,1,1,1,1,1,3,3,1,12,hämarik; päike; friedrich; koit; faehlmann; robert
4,1,1,1,1,1,3,3,1,12,hämarik; päike; friedrich; koit; faehlmann; robert
4,1,1,1,1,1,3,3,1,12,hämarik; päike; friedrich; koit; faehlmann; robert
4,1,1,1,1,1,3,3,1,12,hämarik; päike; friedrich; koit; faehlmann; robert
4,1,1,1,1,1,3,3,1,12,hämarik; päike; friedrich; koit; faehlmann; robert
4,1,1,1,1,1,3,3,1,12,hämarik; päike; friedrich; koit; faehlmann; robert
4,1,1,1,1,1,3,3,1,12,hämarik; päike; friedrich; koit; faehlmann; robert
4,1,1,2,1,1,3,3,1,12,hämarik; päike; friedrich; koit; faehlmann; robert
4,1,1,1,1,1,3,3,1,12,hämarik; päike; friedrich; koit; faehlmann; robert
3,1,1,1,1,2,2,3,2,12,hämarik; päike; friedrich; koit; faehlmann; robert
