EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,0,1,0,0,0,1,4,11,ants; arvamus; täiskasvanu; enesetunnetus; tooming
3,1,0,1,0,0,0,1,4,11,ants; arvamus; täiskasvanu; enesetunnetus; tooming
3,1,0,1,0,0,0,1,4,11,ants; arvamus; täiskasvanu; enesetunnetus; tooming
3,1,0,1,0,0,0,1,4,11,ants; arvamus; täiskasvanu; enesetunnetus; tooming
3,1,0,1,0,0,0,1,4,11,ants; arvamus; täiskasvanu; enesetunnetus; tooming
3,1,0,1,0,0,0,1,4,11,ants; arvamus; täiskasvanu; enesetunnetus; tooming
3,1,0,1,0,0,0,1,4,11,ants; arvamus; täiskasvanu; enesetunnetus; tooming
3,1,0,1,0,0,0,1,4,11,ants; arvamus; täiskasvanu; enesetunnetus; tooming
3,1,0,1,0,0,0,1,4,11,ants; arvamus; täiskasvanu; enesetunnetus; tooming
3,1,0,1,0,0,0,1,4,11,ants; arvamus; täiskasvanu; enesetunnetus; tooming
3,1,0,1,0,0,0,1,4,11,ants; arvamus; täiskasvanu; enesetunnetus; tooming
