EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,2,2,1,2,2,3,3,10,mees; piibujutt; tüdruk; murakas; autojuht
1,2,2,2,1,2,2,3,3,10,mees; piibujutt; tüdruk; murakas; autojuht
1,2,2,2,1,2,2,3,3,10,mees; piibujutt; tüdruk; murakas; autojuht
1,2,2,2,1,2,2,3,3,10,mees; piibujutt; tüdruk; murakas; autojuht
1,2,2,2,1,2,2,3,3,10,mees; piibujutt; tüdruk; murakas; autojuht
1,2,2,2,1,2,2,3,3,10,mees; piibujutt; tüdruk; murakas; autojuht
1,2,2,2,1,2,2,3,3,10,mees; piibujutt; tüdruk; murakas; autojuht
1,2,2,2,1,2,2,3,3,10,mees; piibujutt; tüdruk; murakas; autojuht
1,2,2,2,1,2,2,3,3,10,mees; piibujutt; tüdruk; murakas; autojuht
1,2,2,2,1,2,2,3,3,10,mees; piibujutt; tüdruk; murakas; autojuht
1,2,2,2,1,2,2,3,3,10,mees; piibujutt; tüdruk; murakas; autojuht
