Diversity,Model,Score
diversity_0,MiniLM-L12_multi,0.09428263832830397
diversity_4,MiniLM-L12_multi,0.09428263832830397
diversity_3,MiniLM-L12_multi,0.09428263832830397
diversity_2,MiniLM-L12_multi,0.09428263832830397
diversity_1,MiniLM-L12_multi,0.09428263832830397
diversity_5,MiniLM-L12_multi,0.09358670844119761
diversity_4,multi_e5,0.09269467536534101
diversity_3,multi_e5,0.09232430499497063
diversity_3,LaBSE,0.09215072914415019
diversity_0,LaBSE,0.09208459157801265
diversity_1,LaBSE,0.09208459157801265
diversity_2,LaBSE,0.09208459157801265
diversity_1,multi_e5,0.09197708277274841
diversity_2,multi_e5,0.09197708277274841
diversity_0,multi_e5,0.09151411980978544
diversity_5,multi_e5,0.08884296534696431
diversity_7,MiniLM-L12_multi,0.08878945607196381
diversity_6,MiniLM-L12_multi,0.08809517374132958
diversity_6,multi_e5,0.08712559605284063
diversity_4,LaBSE,0.08511279948122054
diversity_9,MiniLM-L12_multi,0.08310511523411421
diversity_7,multi_e5,0.08262073517297976
diversity_8,MiniLM-L12_multi,0.0824968374657487
diversity_10,MiniLM-L12_multi,0.08154600849118393
diversity_1,MiniLM_multi,0.07990684802526908
diversity_2,MiniLM_multi,0.07990684802526908
diversity_0,MiniLM_multi,0.07990684802526908
diversity_3,MiniLM_multi,0.07990684802526908
diversity_5,LaBSE,0.07925237287079392
diversity_4,MiniLM_multi,0.07921494733336838
diversity_8,multi_e5,0.07776961667312544
diversity_5,MiniLM_multi,0.07718715259724032
diversity_6,LaBSE,0.07711132848632848
diversity_10,multi_e5,0.07628656601682918
diversity_9,multi_e5,0.07574118498460604
diversity_8,MiniLM_multi,0.07516652045160817
diversity_6,MiniLM_multi,0.07437493776051568
diversity_7,MiniLM_multi,0.07317751351484582
diversity_9,MiniLM_multi,0.07289003150845257
diversity_9,LaBSE,0.07186390818408363
diversity_7,LaBSE,0.07085213113721886
diversity_8,LaBSE,0.07059519030352364
diversity_10,LaBSE,0.07007510699177365
diversity_10,MiniLM_multi,0.06840914973590412
diversity_1,est-roberta,0.04722214229889669
diversity_0,est-roberta,0.04722214229889669
diversity_4,est-roberta,0.04722214229889669
diversity_2,est-roberta,0.04722214229889669
diversity_3,est-roberta,0.04722214229889669
diversity_7,est-roberta,0.046308431253606695
diversity_5,est-roberta,0.04614630455639228
diversity_8,est-roberta,0.04464989201831308
diversity_6,est-roberta,0.04424080265089037
diversity_0,EstBERT,0.042194228854316576
diversity_5,EstBERT,0.042194228854316576
diversity_2,EstBERT,0.042194228854316576
diversity_4,EstBERT,0.042194228854316576
diversity_1,EstBERT,0.042194228854316576
diversity_3,EstBERT,0.042194228854316576
diversity_9,est-roberta,0.04207730541063874
diversity_8,EstBERT,0.04049054259580575
diversity_9,EstBERT,0.03927239630090507
diversity_6,EstBERT,0.039060325720413444
diversity_10,est-roberta,0.039028440695107365
diversity_7,EstBERT,0.03754224503566609
diversity_10,EstBERT,0.03647640655316094
diversity_9,xml_roberta,0.027615573185748622
diversity_8,xml_roberta,0.027462220609150434
diversity_10,xml_roberta,0.026434678463187235
diversity_1,xml_roberta,0.026152455812543534
diversity_2,xml_roberta,0.026078802613890333
diversity_7,xml_roberta,0.02580030228056544
diversity_0,xml_roberta,0.025715947876035594
diversity_5,xml_roberta,0.025646364681452403
diversity_4,xml_roberta,0.025592691502779222
diversity_3,xml_roberta,0.02521901425410197
diversity_10,bertMulti,0.025190792475880193
diversity_6,xml_roberta,0.024343593378681097
diversity_9,bertMulti,0.02409872737723615
diversity_8,bertMulti,0.022122638164304834
diversity_5,bertMulti,0.021365093240093242
diversity_1,bertMulti,0.021365093240093242
diversity_4,bertMulti,0.021365093240093242
diversity_0,bertMulti,0.021365093240093242
diversity_3,bertMulti,0.021365093240093242
diversity_2,bertMulti,0.021365093240093242
diversity_7,bertMulti,0.02073307864974532
diversity_6,bertMulti,0.020077214452214453
diversity_6,distilbertMulti,0.01804869359036026
diversity_10,distilbertMulti,0.01798255602422269
diversity_0,distilbertMulti,0.017585730627397295
diversity_7,distilbertMulti,0.017585730627397295
diversity_1,distilbertMulti,0.017585730627397295
diversity_2,distilbertMulti,0.017585730627397295
diversity_9,distilbertMulti,0.017585730627397295
diversity_3,distilbertMulti,0.017585730627397295
diversity_4,distilbertMulti,0.017585730627397295
diversity_8,distilbertMulti,0.017585730627397295
diversity_5,distilbertMulti,0.017585730627397295
