EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,3,5,1,0,2,0,1,1,16,jürgens; kriivan; peeter; lasmann; tähelepanu; tunnustus; piret
1,3,5,1,0,2,0,1,1,16,jürgens; kriivan; peeter; lasmann; tähelepanu; tunnustus; piret
1,3,5,1,0,2,0,1,2,16,jürgens; kriivan; peeter; lasmann; tähelepanu; tunnustus; piret
1,3,5,1,0,2,0,1,2,16,jürgens; kriivan; peeter; lasmann; tähelepanu; tunnustus; piret
1,3,5,1,0,2,0,1,2,16,jürgens; kriivan; peeter; lasmann; tähelepanu; tunnustus; piret
1,3,5,1,0,2,0,1,2,16,jürgens; kriivan; peeter; lasmann; tähelepanu; tunnustus; piret
1,3,5,1,0,2,0,1,2,16,jürgens; kriivan; peeter; lasmann; tähelepanu; tunnustus; piret
1,3,5,1,0,2,0,1,1,16,jürgens; kriivan; peeter; lasmann; tähelepanu; tunnustus; piret
1,3,5,1,0,2,0,1,2,16,jürgens; kriivan; peeter; lasmann; tähelepanu; tunnustus; piret
1,3,5,1,0,2,0,1,2,16,jürgens; kriivan; peeter; lasmann; tähelepanu; tunnustus; piret
1,3,5,1,0,2,0,1,2,16,jürgens; kriivan; peeter; lasmann; tähelepanu; tunnustus; piret
