EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,0,1,1,0,1,1,1,0,11,raudtee; jaan; näitleja; tädi
2,0,1,1,0,1,1,1,0,11,raudtee; jaan; näitleja; tädi
2,0,1,1,0,1,1,1,0,11,raudtee; jaan; näitleja; tädi
2,0,1,1,0,1,1,1,0,11,raudtee; jaan; näitleja; tädi
2,0,1,1,0,1,1,1,0,11,raudtee; jaan; näitleja; tädi
2,0,1,1,0,1,1,1,0,11,raudtee; jaan; näitleja; tädi
2,0,1,1,0,1,1,1,0,11,raudtee; jaan; näitleja; tädi
2,0,1,1,0,1,1,1,0,11,raudtee; jaan; näitleja; tädi
2,0,1,1,0,1,1,1,0,11,raudtee; jaan; näitleja; tädi
2,0,1,1,0,1,1,1,0,11,raudtee; jaan; näitleja; tädi
2,0,1,1,0,1,1,1,0,11,raudtee; jaan; näitleja; tädi
