EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,2,1,0,2,4,1,0,10,faehlmann; koit; valgusandja; hämarik; vanaisa
2,3,2,1,0,2,4,1,0,10,faehlmann; koit; valgusandja; hämarik; vanaisa
2,3,2,1,0,2,4,1,0,10,faehlmann; koit; valgusandja; hämarik; vanaisa
2,3,2,1,0,2,4,1,0,10,faehlmann; koit; valgusandja; hämarik; vanaisa
2,3,2,1,0,2,4,1,0,10,faehlmann; koit; valgusandja; hämarik; vanaisa
2,3,2,1,0,2,4,1,0,10,faehlmann; koit; valgusandja; hämarik; vanaisa
2,3,2,1,0,2,4,1,0,10,faehlmann; koit; valgusandja; hämarik; vanaisa
3,3,2,0,0,2,4,1,0,10,faehlmann; koit; valgusandja; hämarik; vanaisa
2,3,2,1,0,2,3,1,0,10,faehlmann; koit; valgusandja; hämarik; vanaisa
2,3,2,2,0,3,3,1,0,10,faehlmann; koit; valgusandja; hämarik; vanaisa
2,3,2,1,0,3,3,1,0,10,faehlmann; koit; valgusandja; hämarik; vanaisa
