EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,1,1,2,4,4,1,0,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
1,1,1,1,2,4,4,1,0,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
1,1,1,1,2,4,4,1,0,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
1,1,1,1,2,4,4,1,0,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
1,1,1,1,2,4,4,1,0,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
1,1,1,1,2,4,4,1,0,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
1,1,1,1,2,4,4,1,0,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
1,1,1,0,2,3,4,1,0,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
2,1,2,0,2,3,4,1,0,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
1,2,2,0,2,3,4,1,0,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
2,2,1,1,2,2,3,1,0,12,tavakodanik; infoajastu; andmesubjekt; andmete; kuhjumine
