EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,1,2,2,2,3,3,5,0,12,saatus; laul; mäng; varrukas; trump; eluga
5,1,2,2,2,3,3,5,0,12,saatus; laul; mäng; varrukas; trump; eluga
5,1,2,2,2,3,3,5,0,12,saatus; laul; mäng; varrukas; trump; eluga
5,1,2,2,2,3,3,5,0,12,saatus; laul; mäng; varrukas; trump; eluga
5,1,2,2,2,3,3,5,0,12,saatus; laul; mäng; varrukas; trump; eluga
5,1,2,2,2,3,3,5,0,12,saatus; laul; mäng; varrukas; trump; eluga
5,1,2,2,2,3,3,5,0,12,saatus; laul; mäng; varrukas; trump; eluga
5,1,2,2,2,3,3,5,0,12,saatus; laul; mäng; varrukas; trump; eluga
5,1,2,2,2,3,3,5,0,12,saatus; laul; mäng; varrukas; trump; eluga
5,1,2,2,2,3,3,5,0,12,saatus; laul; mäng; varrukas; trump; eluga
5,1,2,2,2,3,3,5,0,12,saatus; laul; mäng; varrukas; trump; eluga
