EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,2,0,1,3,2,0,0,16,orgaaniline; keraamika; materjal; aivar; kiviaja
0,2,2,0,1,3,2,0,0,16,orgaaniline; keraamika; materjal; aivar; kiviaja
0,2,2,0,1,3,2,0,0,16,orgaaniline; keraamika; materjal; aivar; kiviaja
0,2,2,0,1,3,2,0,0,16,orgaaniline; keraamika; materjal; aivar; kiviaja
0,2,2,0,1,3,2,0,0,16,orgaaniline; keraamika; materjal; aivar; kiviaja
0,2,2,0,1,3,2,0,0,16,orgaaniline; keraamika; materjal; aivar; kiviaja
0,2,2,0,1,3,2,0,0,16,orgaaniline; keraamika; materjal; aivar; kiviaja
0,2,2,0,1,3,2,0,0,16,orgaaniline; keraamika; materjal; aivar; kiviaja
0,2,2,0,1,3,2,0,0,16,orgaaniline; keraamika; materjal; aivar; kiviaja
0,2,2,0,1,3,2,0,0,16,orgaaniline; keraamika; materjal; aivar; kiviaja
0,2,2,0,1,3,2,0,0,16,orgaaniline; keraamika; materjal; aivar; kiviaja
