word;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
kindlasti;41;no;4;8421;932062911;4848.9708010689765
võimalik;30;no;2;8421;932062911;3555.892111041608
näiteks;29;no;1;8421;932062911;3441.079627256178
šveitslased;30;no;567;8421;932062911;2215.668810207432
tegelikult;17;no;1;8421;932062911;2017.5979587064096
inimesed;14;no;1;8421;932062911;1661.7275415689678
arvan;13;no;1;8421;932062911;1543.1040691898202
eriti;12;no;3;8421;932062911;1421.4337844945103
suhteliselt;11;no;3;8421;932062911;1303.0640350916117
suur;10;no;1;8421;932062911;1187.2336520523784
ajal;10;no;1;8421;932062911;1187.2336520523784
toimub;9;no;1;8421;932062911;1068.610179673231
šveitslaste;12;no;321;8421;932062911;1060.704934010439
suurt;8;no;1;8421;932062911;949.9867072940835
Eesti;7;no;1;8421;932062911;831.3632349149362
koht;7;no;1;8421;932062911;831.3632349149362
natukene;7;no;1;8421;932062911;831.3632349149362
nimelt;7;no;1;8421;932062911;831.3632349149362
oluline;7;no;1;8421;932062911;831.3632349149362
Martin;6;no;1;8421;932062911;712.7397625357888
suurem;6;no;1;8421;932062911;712.7397625357888
no;6;no;1;8421;932062911;712.7397625357888
täpselt;6;no;1;8421;932062911;712.7397625357888
rääkida;5;no;1;8421;932062911;594.1162901566415
head;5;no;1;8421;932062911;594.1162901566415
räägime;5;no;1;8421;932062911;594.1162901566415
nimi;5;no;1;8421;932062911;594.1162901566415
lihtsalt;5;no;1;8421;932062911;594.1162901566415
paremini;5;no;1;8421;932062911;594.1162901566415
ongi;5;no;1;8421;932062911;594.1162901566415
elu;5;no;1;8421;932062911;594.1162901566415
kantonis;6;no;253;8421;932062911;561.1778340576991
Šveitsi;84;no;15867;8421;932062911;553.502166046879
juust;4;no;1;8421;932062911;475.49281777749417
pikk;4;no;1;8421;932062911;475.49281777749417
arvatavasti;4;no;1;8421;932062911;475.49281777749417
linnas;4;no;1;8421;932062911;475.49281777749417
hästi;4;no;1;8421;932062911;475.49281777749417
muusika;4;no;1;8421;932062911;475.49281777749417
riigi;4;no;1;8421;932062911;475.49281777749417
oluliselt;4;no;1;8421;932062911;475.49281777749417
vaadata;4;no;2;8421;932062911;474.98375911326735
hea;4;no;2;8421;932062911;474.98375911326735
šveitslane;10;no;1433;8421;932062911;468.3865626867264
prantsusekeelsed;4;no;35;8421;932062911;458.7754402206221
reisipalavik;4;no;62;8421;932062911;446.3145217526995
šveitsi;12;no;2233;8421;932062911;419.9379442676689
Chino;4;no;132;8421;932062911;416.95346029691785
