EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,4,5,2,4,4,5,0,10,ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; konga; superstaar
3,6,4,5,3,4,4,5,0,10,ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; konga; superstaar
3,6,4,4,3,5,5,5,0,10,ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; konga; superstaar
4,6,5,4,4,5,5,5,0,10,ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; konga; superstaar
4,6,5,4,5,5,5,5,0,10,ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; konga; superstaar
5,5,5,5,8,5,6,5,0,10,ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; superstaar; konga
5,4,5,7,6,5,7,5,0,10,ladina-ameerika; gloria; tütar; muusika; kuuba; räpp; superstaar; konga
6,6,7,8,7,6,5,4,0,10,ladina-ameerika; gloria; tütar; muusika; kuuba; räpp; superstaar; konga
4,6,6,8,7,7,7,5,0,10,ladina-ameerika; gloria; tütar; muusika; kuuba; räpp; superstaar; konga
5,6,5,7,7,6,6,6,0,10,ladina-ameerika; gloria; tütar; muusika; kuuba; räpp; superstaar; konga
5,6,5,7,7,6,5,6,0,10,ladina-ameerika; gloria; tütar; kuuba; muusika; räpp; superstaar; konga
