EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,7,4,5,2,5,6,6,0,15,toomhärra; institutsioon; ülikool; kloostrielu; jaroslav; tartu; piiskopkond; tark; ordu; liivi; lukas; tõnis
4,7,4,7,3,6,7,6,0,15,toomhärra; institutsioon; ülikool; kloostrielu; jaroslav; tartu; piiskopkond; tark; ordu; liivi; lukas; tõnis
5,7,5,7,3,6,7,6,0,15,toomhärra; institutsioon; ülikool; kloostrielu; jaroslav; tartu; piiskopkond; tark; ordu; liivi; lukas; tõnis
7,6,8,7,3,7,8,6,0,15,institutsioon; ülikool; kloostrielu; tartu; liivi; toomhärra; jaroslav; tark; piiskopkond; ordu; lukas; tõnis
5,8,10,8,4,8,9,6,0,15,institutsioon; ülikool; kloostrielu; tartu; liivi; toomhärra; jaroslav; tark; piiskopkond; ordu; lukas; tõnis
5,8,10,7,4,6,7,6,0,15,institutsioon; ülikool; kloostrielu; tartu; liivi; toomhärra; jaroslav; tark; piiskopkond; ordu; lukas; tõnis
5,6,9,8,6,4,10,7,0,15,institutsioon; ülikool; kloostrielu; tartu; liivi; toomhärra; jaroslav; tark; piiskopkond; ordu; lukas; tõnis
4,6,9,9,7,5,10,8,0,15,institutsioon; ülikool; kloostrielu; tartu; liivi; toomhärra; tark; jaroslav; piiskopkond; ordu; lukas; tõnis
5,6,9,9,7,7,9,8,0,15,institutsioon; ülikool; kloostrielu; tartu; liivi; toomhärra; tark; jaroslav; piiskopkond; ordu; lukas; tõnis
4,7,10,9,10,5,7,8,0,15,institutsioon; ülikool; kloostrielu; tartu; liivi; toomhärra; tark; jaroslav; piiskopkond; ordu; lukas; tõnis
4,10,9,9,10,5,8,8,0,15,institutsioon; ülikool; kloostrielu; tartu; liivi; toomhärra; jaroslav; tark; piiskopkond; ordu; lukas; tõnis
