EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,4,3,4,4,4,4,4,10,akadeemia; tulemus; teadus; riigikogu
4,4,4,3,4,4,4,4,4,10,akadeemia; tulemus; teadus; riigikogu
4,4,4,3,4,4,4,4,4,10,akadeemia; tulemus; teadus; riigikogu
4,4,4,3,4,4,4,4,4,10,akadeemia; tulemus; teadus; riigikogu
4,4,4,3,4,4,4,4,4,10,akadeemia; tulemus; teadus; riigikogu
4,4,4,3,4,4,4,4,4,10,akadeemia; tulemus; teadus; riigikogu
4,4,4,4,4,4,4,4,4,10,akadeemia; tulemus; teadus; riigikogu
4,4,4,4,4,4,4,4,4,10,akadeemia; tulemus; teadus; riigikogu
4,4,4,4,4,4,4,4,4,10,akadeemia; tulemus; teadus; riigikogu
4,4,4,4,4,4,4,4,4,10,akadeemia; tulemus; teadus; riigikogu
4,4,4,4,4,4,4,4,4,10,akadeemia; tulemus; teadus; riigikogu
