EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,1,4,3,7,9,8,0,15,artur; edgar; selberg; saul; estraadiorkester; peeter; jaak; viktoriin; rinne; varietee; joala
9,10,2,5,3,7,8,8,0,15,artur; edgar; selberg; saul; estraadiorkester; peeter; jaak; viktoriin; rinne; varietee; joala
9,10,4,4,3,7,9,8,0,15,artur; edgar; selberg; saul; estraadiorkester; peeter; jaak; viktoriin; rinne; varietee; joala
10,9,5,7,4,8,10,8,0,15,artur; edgar; selberg; saul; estraadiorkester; peeter; jaak; viktoriin; rinne; varietee; joala
10,10,9,7,4,9,10,9,0,15,artur; edgar; selberg; saul; estraadiorkester; peeter; jaak; viktoriin; rinne; varietee; joala
6,8,9,9,5,7,10,9,0,15,artur; edgar; selberg; saul; estraadiorkester; peeter; jaak; viktoriin; rinne; varietee; joala
4,8,8,9,6,9,10,9,0,15,artur; edgar; selberg; saul; estraadiorkester; peeter; viktoriin; jaak; rinne; varietee; joala
2,9,10,5,8,6,9,9,0,15,artur; edgar; selberg; saul; estraadiorkester; peeter; viktoriin; jaak; rinne; varietee; joala
2,5,9,5,8,8,10,10,0,15,artur; edgar; selberg; saul; estraadiorkester; peeter; viktoriin; jaak; rinne; varietee; joala
2,5,7,6,9,8,9,10,0,15,artur; edgar; selberg; saul; estraadiorkester; peeter; viktoriin; jaak; rinne; varietee; joala
3,4,9,6,9,6,8,11,0,15,artur; edgar; selberg; saul; estraadiorkester; peeter; viktoriin; jaak; rinne; varietee; joala
