EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,5,7,6,4,6,5,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,6,7,7,6,4,6,5,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,6,7,7,6,4,6,5,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,6,7,7,6,5,6,5,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,6,7,7,6,5,7,4,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,7,7,7,7,6,7,5,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,7,7,7,7,6,7,5,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,6,7,7,6,7,7,7,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,6,7,7,6,7,7,7,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,5,7,7,7,7,7,7,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
7,6,7,7,7,7,7,7,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
