EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,4,5,3,4,5,2,0,12,portaal; nobeli; port; armutu; kristjan
5,5,5,5,3,4,5,3,0,12,portaal; nobeli; port; armutu; kristjan
5,5,5,5,3,4,5,3,0,12,portaal; nobeli; port; armutu; kristjan
5,5,5,5,3,4,5,4,0,12,portaal; nobeli; port; armutu; kristjan
5,5,5,5,3,4,4,4,0,12,portaal; nobeli; port; armutu; kristjan
5,5,5,5,4,4,5,4,0,12,portaal; nobeli; port; armutu; kristjan
4,5,4,4,4,5,4,4,0,12,portaal; nobeli; port; armutu; kristjan
5,5,5,4,5,5,4,5,0,12,portaal; nobeli; port; armutu; kristjan
5,5,5,4,4,5,5,5,0,12,portaal; nobeli; port; armutu; kristjan
4,5,5,4,5,5,5,5,0,12,portaal; nobeli; port; armutu; kristjan
4,5,5,5,5,5,5,5,0,12,portaal; nobeli; port; armutu; kristjan
