EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,7,4,4,6,5,6,0,13,otsus; liivia; vaim; poliitiline; margit; vaimuinimene; moekunstnik; kilumets; haapsalu; keskkond
7,9,7,4,4,6,5,6,0,13,otsus; liivia; vaim; poliitiline; margit; vaimuinimene; moekunstnik; kilumets; haapsalu; keskkond
7,9,7,4,4,6,5,6,0,13,otsus; liivia; vaim; poliitiline; margit; vaimuinimene; moekunstnik; kilumets; haapsalu; keskkond
7,8,7,4,4,6,5,6,0,13,otsus; moekunstnik; liivia; kilumets; vaim; poliitiline; haapsalu; keskkond; margit; vaimuinimene
7,9,7,6,4,6,5,6,0,13,otsus; liivia; vaim; poliitiline; margit; vaimuinimene; moekunstnik; kilumets; haapsalu; keskkond
6,9,8,5,4,5,5,5,0,13,otsus; moekunstnik; liivia; kilumets; vaim; poliitiline; haapsalu; keskkond; margit; vaimuinimene
7,9,6,5,6,4,5,5,0,13,otsus; liivia; vaim; poliitiline; margit; vaimuinimene; moekunstnik; kilumets; haapsalu; keskkond
5,7,5,7,8,8,5,5,0,13,otsus; moekunstnik; liivia; vaim; kilumets; poliitiline; haapsalu; keskkond; margit; vaimuinimene
7,7,5,6,5,6,6,7,0,13,otsus; moekunstnik; liivia; vaim; kilumets; poliitiline; haapsalu; keskkond; margit; vaimuinimene
6,7,7,7,6,7,7,6,0,13,otsus; moekunstnik; liivia; vaim; kilumets; poliitiline; haapsalu; keskkond; margit; vaimuinimene
4,7,6,6,6,5,8,6,0,13,otsus; moekunstnik; liivia; vaim; kilumets; poliitiline; haapsalu; keskkond; margit; vaimuinimene
