EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,3,3,3,5,8,4,0,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
7,7,4,3,3,5,8,5,0,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
7,8,5,3,3,7,8,5,0,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
7,8,7,3,2,7,8,5,0,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
7,8,7,3,2,7,8,5,0,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
7,8,6,2,2,6,8,5,0,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
5,7,7,5,3,6,7,5,0,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
5,8,8,7,5,8,7,5,0,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
5,7,7,7,6,8,8,5,0,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
5,8,7,7,7,6,8,5,0,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
4,8,7,7,7,6,6,7,0,12,kaupo; amazonas; inka; kikkas; vihm; surnute; salapärane; linn
