EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,6,7,6,3,5,5,8,7,12,aabits; raha; kadakas; esimene; lugu; tahvel; tarand; mari; sõna
3,8,8,6,3,5,5,9,7,12,aabits; raha; kadakas; esimene; lugu; tahvel; tarand; mari; sõna
4,8,8,6,3,5,5,9,7,12,aabits; raha; kadakas; esimene; lugu; tahvel; tarand; mari; sõna
5,8,8,6,5,5,5,9,7,12,aabits; raha; kadakas; esimene; lugu; tahvel; mari; tarand; sõna
5,7,9,6,6,6,5,9,7,12,aabits; raha; kadakas; esimene; lugu; tahvel; mari; tarand; sõna
8,8,9,5,6,6,5,9,7,12,aabits; raha; kadakas; esimene; lugu; tahvel; mari; tarand; sõna
6,8,8,5,7,7,7,9,8,12,aabits; raha; kadakas; esimene; lugu; tarand; mari; tahvel; sõna
4,6,6,8,8,7,7,6,8,12,aabits; raha; kadakas; esimene; tarand; lugu; mari; tahvel; sõna
5,4,5,7,8,6,8,8,8,12,aabits; raha; kadakas; esimene; tarand; tahvel; mari; lugu; sõna
5,5,7,8,8,9,8,7,8,12,aabits; raha; kadakas; esimene; tarand; tahvel; mari; lugu; sõna
5,5,5,9,7,7,7,9,8,12,aabits; raha; kadakas; esimene; tarand; tahvel; mari; lugu; sõna
