EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,9,8,7,1,6,10,3,0,18,ukraina; kalevi; kärdla; staadion; petseri; mari; pärt; toomas; ilves; rebane; hendrik; arvo
3,9,8,7,2,6,10,3,0,18,ukraina; kalevi; kärdla; staadion; petseri; mari; pärt; toomas; ilves; rebane; hendrik; arvo
3,9,8,7,3,6,10,3,0,18,ukraina; kalevi; kärdla; staadion; petseri; mari; pärt; toomas; ilves; rebane; hendrik; arvo
3,8,8,7,3,7,10,3,0,18,ukraina; kalevi; kärdla; staadion; petseri; mari; pärt; toomas; ilves; rebane; hendrik; arvo
4,10,8,8,4,7,9,3,0,18,ukraina; kalevi; kärdla; staadion; petseri; mari; pärt; toomas; ilves; rebane; hendrik; arvo
6,9,12,7,5,7,8,3,0,18,ukraina; kalevi; kärdla; staadion; mari; petseri; pärt; toomas; ilves; rebane; hendrik; arvo
9,7,11,12,10,6,9,5,0,18,ukraina; kalevi; kärdla; staadion; mari; petseri; pärt; toomas; ilves; rebane; hendrik; arvo
7,8,10,12,11,7,8,5,0,18,ukraina; kalevi; kärdla; staadion; petseri; mari; pärt; toomas; ilves; rebane; hendrik; arvo
7,5,8,12,11,8,11,7,0,18,ukraina; kalevi; kärdla; mari; petseri; staadion; pärt; toomas; ilves; rebane; hendrik; arvo
5,5,7,12,12,5,10,8,0,18,ukraina; kalevi; kärdla; mari; petseri; staadion; pärt; toomas; ilves; rebane; hendrik; arvo
5,5,10,12,12,7,8,9,0,18,ukraina; kalevi; kärdla; mari; staadion; petseri; pärt; toomas; ilves; rebane; hendrik; arvo
