EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,6,2,1,5,5,5,2,13,sobak; kristi; kreeka; idamurderaamat; jüri; tööjõupuudus
6,5,6,2,1,5,5,5,2,13,sobak; kristi; kreeka; idamurderaamat; jüri; tööjõupuudus
5,5,6,2,1,5,5,5,2,13,sobak; kristi; kreeka; idamurderaamat; jüri; tööjõupuudus
5,5,6,2,2,5,5,6,2,13,sobak; kristi; kreeka; idamurderaamat; jüri; tööjõupuudus
5,5,6,2,2,5,5,6,2,13,sobak; kristi; kreeka; idamurderaamat; jüri; tööjõupuudus
5,5,6,3,2,6,6,6,2,13,sobak; kristi; kreeka; idamurderaamat; jüri; tööjõupuudus
2,3,6,6,4,6,3,5,2,13,sobak; kristi; kreeka; idamurderaamat; jüri; tööjõupuudus
1,3,6,4,4,5,6,6,2,13,sobak; kristi; idamurderaamat; jüri; tööjõupuudus; kreeka
2,3,6,4,4,4,4,6,2,13,sobak; kristi; idamurderaamat; jüri; tööjõupuudus; kreeka
2,2,5,5,4,4,3,5,2,13,sobak; kristi; idamurderaamat; jüri; tööjõupuudus; kreeka
2,2,6,5,5,5,3,5,4,13,sobak; kristi; idamurderaamat; jüri; tööjõupuudus; kreeka
