EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,3,3,2,3,3,2,1,11,rahutu; abitu; vaenlased; käsikiri; kriitika
3,2,3,3,2,4,3,2,1,11,rahutu; vaenlased; käsikiri; kriitika; abitu
3,2,3,3,2,4,3,3,1,11,rahutu; vaenlased; käsikiri; kriitika; abitu
3,2,4,3,2,4,3,3,1,11,rahutu; vaenlased; käsikiri; kriitika; abitu
3,2,4,4,1,4,4,3,1,11,rahutu; vaenlased; käsikiri; kriitika; abitu
3,2,4,4,1,4,4,3,1,11,rahutu; vaenlased; käsikiri; kriitika; abitu
3,3,4,3,1,4,5,4,1,11,rahutu; vaenlased; käsikiri; kriitika; abitu
1,1,4,2,1,5,4,3,1,11,rahutu; vaenlased; käsikiri; kriitika; abitu
1,2,3,4,2,4,3,4,1,11,rahutu; vaenlased; käsikiri; kriitika; abitu
1,3,4,4,2,4,4,5,1,11,rahutu; vaenlased; käsikiri; kriitika; abitu
1,2,3,4,3,4,3,5,1,11,rahutu; vaenlased; käsikiri; kriitika; abitu
