EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,2,3,4,3,3,5,0,12,nukuteater; budism; panteon; birma; puhkpill; trumm
3,5,2,3,4,2,3,5,0,12,nukuteater; budism; panteon; birma; puhkpill; trumm
3,5,2,3,4,2,3,5,0,12,nukuteater; budism; panteon; birma; puhkpill; trumm
3,5,2,3,5,3,4,5,0,12,nukuteater; budism; panteon; birma; puhkpill; trumm
3,5,2,3,5,3,4,5,0,12,nukuteater; budism; panteon; birma; puhkpill; trumm
3,5,3,3,5,3,3,5,0,12,nukuteater; budism; panteon; birma; puhkpill; trumm
2,5,2,4,5,3,2,5,0,12,nukuteater; budism; panteon; birma; puhkpill; trumm
2,4,2,4,6,3,3,4,0,12,nukuteater; budism; panteon; birma; puhkpill; trumm
3,3,3,4,6,4,3,5,0,12,nukuteater; budism; panteon; birma; puhkpill; trumm
2,4,4,4,6,4,3,5,0,12,nukuteater; budism; panteon; birma; puhkpill; trumm
2,2,3,4,4,3,4,5,0,12,nukuteater; budism; panteon; birma; puhkpill; trumm
