EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,4,4,3,4,5,4,0,12,meelis; kirik; urmas; riik; süld; erakond; viilma; probleem
5,6,5,4,3,4,7,4,0,12,meelis; kirik; urmas; riik; süld; erakond; viilma; probleem
5,6,7,4,3,5,7,4,0,12,meelis; kirik; urmas; riik; süld; erakond; viilma; probleem
5,6,7,4,3,4,8,4,0,12,meelis; kirik; urmas; riik; süld; erakond; viilma; probleem
5,6,6,4,3,4,7,4,0,12,meelis; kirik; urmas; riik; süld; erakond; viilma; probleem
6,5,7,6,4,5,7,4,0,12,meelis; kirik; urmas; riik; erakond; süld; viilma; probleem
6,5,6,6,8,6,6,4,0,12,meelis; kirik; urmas; riik; süld; erakond; viilma; probleem
6,5,6,7,7,6,7,4,0,12,meelis; kirik; urmas; riik; erakond; süld; viilma; probleem
6,5,6,7,8,6,8,4,0,12,meelis; kirik; urmas; riik; erakond; süld; viilma; probleem
5,6,5,7,7,5,7,4,0,12,meelis; kirik; urmas; riik; erakond; süld; viilma; probleem
6,6,6,7,7,4,6,6,0,12,meelis; kirik; urmas; riik; erakond; süld; viilma; probleem
