EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,7,7,7,8,7,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
8,8,7,7,7,8,8,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
8,8,7,8,8,8,8,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
8,8,7,8,8,8,8,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
8,8,8,8,8,8,8,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
8,8,8,8,8,8,8,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
8,8,8,8,8,8,8,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
8,7,8,8,8,8,8,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
8,7,8,8,8,8,8,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
8,7,8,8,8,8,8,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
8,7,8,8,8,8,8,8,0,13,neitsi; püha; johannes; kolmas; paavst; issand; gregorius; jumal
