EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,7,5,3,3,6,7,0,14,küsimus; hermann; hellitus; friedebert; johannes; armas; august; keel; karl; raud; tuglas
5,7,7,5,3,3,8,8,0,14,friedebert; johannes; raud; karl; tuglas; küsimus; hellitus; armas; august; keel; hermann
8,7,7,5,3,4,9,8,0,14,friedebert; johannes; raud; tuglas; karl; küsimus; hellitus; armas; august; keel; hermann
8,7,8,5,6,7,10,8,0,14,friedebert; johannes; raud; tuglas; karl; küsimus; hellitus; armas; august; keel; hermann
8,7,8,5,8,7,10,8,0,14,friedebert; johannes; raud; tuglas; karl; küsimus; hellitus; armas; august; keel; hermann
7,8,9,6,8,6,11,8,0,14,friedebert; johannes; raud; tuglas; karl; küsimus; hellitus; armas; august; keel; hermann
3,6,8,10,7,6,11,8,0,14,friedebert; johannes; raud; tuglas; karl; küsimus; hellitus; armas; august; keel; hermann
2,5,8,10,7,5,9,9,0,14,friedebert; johannes; raud; karl; tuglas; küsimus; hellitus; armas; august; keel; hermann
1,4,9,10,7,7,7,9,0,14,friedebert; johannes; raud; karl; tuglas; küsimus; hellitus; armas; august; keel; hermann
1,3,8,9,7,6,10,8,0,14,friedebert; johannes; raud; karl; tuglas; küsimus; hellitus; armas; august; keel; hermann
1,3,8,9,7,3,8,8,0,14,friedebert; johannes; raud; tuglas; karl; küsimus; hellitus; armas; august; keel; hermann
