EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,8,8,7,4,5,9,9,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
4,8,8,7,4,5,10,9,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
4,8,8,6,4,5,9,9,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
4,9,8,6,4,5,9,8,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
3,9,10,7,5,5,10,8,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
6,9,10,10,5,5,11,8,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
6,8,10,10,8,10,10,9,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
8,10,10,8,8,9,9,9,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
7,9,10,8,9,6,11,10,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
6,9,9,8,7,9,9,10,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
6,10,9,8,8,8,8,10,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
