EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,3,6,6,3,2,3,3,7,12,kirik; ants; praalimine; kriivan; soust; talupoeg; pulmapidu; metsloom; hein; piret; sõda
6,4,6,5,3,2,3,3,6,12,kirik; ants; praalimine; kriivan; soust; talupoeg; pulmapidu; metsloom; hein; piret; sõda
6,4,6,5,3,2,0,3,6,12,kirik; ants; praalimine; kriivan; soust; talupoeg; pulmapidu; metsloom; hein; piret; sõda
6,4,5,5,3,2,2,5,6,12,kirik; ants; praalimine; kriivan; soust; talupoeg; pulmapidu; metsloom; hein; piret; sõda
6,5,6,5,2,4,3,7,6,12,kirik; ants; praalimine; kriivan; soust; talupoeg; pulmapidu; metsloom; hein; piret; sõda
4,5,6,4,2,6,4,6,6,12,kirik; ants; praalimine; kriivan; soust; talupoeg; hein; pulmapidu; metsloom; sõda; piret
4,8,8,7,6,4,4,5,5,12,kirik; ants; praalimine; kriivan; talupoeg; soust; pulmapidu; metsloom; hein; piret; sõda
5,7,8,9,5,4,4,6,7,12,ants; praalimine; soust; pulmapidu; metsloom; hein; piret; kirik; kriivan; talupoeg; sõda
5,7,6,7,7,7,4,6,7,12,kirik; ants; praalimine; kriivan; soust; talupoeg; pulmapidu; metsloom; hein; piret; sõda
4,8,8,6,7,6,5,6,6,12,kirik; ants; praalimine; kriivan; talupoeg; soust; pulmapidu; metsloom; hein; piret; sõda
4,7,6,8,7,6,5,7,6,12,kirik; ants; praalimine; kriivan; soust; talupoeg; pulmapidu; metsloom; hein; piret; sõda
