EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,4,2,1,3,3,5,0,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
6,4,5,2,1,3,3,5,0,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
6,4,5,2,1,3,3,5,0,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
6,3,5,2,0,3,3,5,0,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
6,3,5,3,0,4,4,5,0,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
3,3,5,3,0,2,5,5,0,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
3,5,5,3,0,3,4,5,0,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
2,3,4,5,1,3,4,5,0,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
1,5,5,5,4,4,4,4,0,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
1,2,4,5,6,5,4,4,0,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
2,1,3,2,6,4,4,4,0,14,töö; vooglaid; õlletegu; sõda; ülo; vanaisa
