EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,8,7,7,1,5,9,6,0,15,bashar; sildam; karjatse; tõnu; kultuuripealinn; soome-ugri; toomas; jevgeni; vladimir; ossinovski
6,8,7,7,1,5,10,6,0,15,bashar; sildam; karjatse; tõnu; kultuuripealinn; soome-ugri; toomas; jevgeni; vladimir; ossinovski
6,8,9,7,1,7,10,6,0,15,bashar; sildam; karjatse; tõnu; kultuuripealinn; soome-ugri; toomas; jevgeni; vladimir; ossinovski
6,8,10,7,1,7,10,6,0,15,bashar; sildam; karjatse; tõnu; kultuuripealinn; soome-ugri; toomas; jevgeni; vladimir; ossinovski
6,8,10,7,1,8,8,6,0,15,kultuuripealinn; soome-ugri; bashar; toomas; sildam; jevgeni; vladimir; karjatse; ossinovski; tõnu
6,9,10,8,2,8,8,6,0,15,bashar; sildam; karjatse; tõnu; kultuuripealinn; soome-ugri; toomas; jevgeni; vladimir; ossinovski
6,9,10,7,5,7,9,6,0,15,bashar; sildam; karjatse; tõnu; kultuuripealinn; soome-ugri; toomas; jevgeni; vladimir; ossinovski
5,9,8,9,7,6,9,6,0,15,bashar; sildam; karjatse; tõnu; kultuuripealinn; soome-ugri; toomas; jevgeni; vladimir; ossinovski
6,9,8,7,7,6,9,6,0,15,bashar; sildam; karjatse; tõnu; kultuuripealinn; soome-ugri; toomas; jevgeni; vladimir; ossinovski
6,8,8,7,9,8,9,6,0,15,bashar; sildam; karjatse; tõnu; kultuuripealinn; soome-ugri; toomas; jevgeni; vladimir; ossinovski
5,7,8,7,9,7,9,6,0,15,bashar; sildam; karjatse; tõnu; kultuuripealinn; soome-ugri; toomas; jevgeni; vladimir; ossinovski
