EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,1,3,2,1,1,1,0,10,hambahari; hügieenipropaganda; ivanov; ristimine
2,2,1,3,2,1,1,1,0,10,hambahari; hügieenipropaganda; ivanov; ristimine
2,2,1,3,2,1,2,1,0,10,hambahari; hügieenipropaganda; ivanov; ristimine
2,3,2,3,2,2,2,1,0,10,hambahari; hügieenipropaganda; ivanov; ristimine
3,3,3,3,2,2,2,1,0,10,hambahari; hügieenipropaganda; ivanov; ristimine
3,2,4,3,2,2,3,1,0,10,hambahari; hügieenipropaganda; ivanov; ristimine
1,3,4,1,2,2,1,0,0,10,hambahari; ivanov; ristimine; hügieenipropaganda
2,3,4,0,2,3,1,0,0,10,hambahari; hügieenipropaganda; ivanov; ristimine
1,3,4,1,2,2,1,0,0,10,hambahari; ivanov; ristimine; hügieenipropaganda
2,3,3,0,2,1,1,1,0,10,hambahari; hügieenipropaganda; ivanov; ristimine
1,3,3,0,2,4,2,1,0,10,hambahari; hügieenipropaganda; ivanov; ristimine
