EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,8,6,3,5,5,6,0,12,leiba; köster; näitleja; loorberipärg; teenima; jõgis; andres; teater; estonia
5,7,8,6,3,5,6,6,0,12,leiba; köster; näitleja; loorberipärg; teenima; jõgis; andres; teater; estonia
5,7,8,6,3,5,6,6,0,12,leiba; köster; näitleja; loorberipärg; teenima; jõgis; andres; teater; estonia
6,7,8,6,3,6,7,6,0,12,leiba; köster; näitleja; loorberipärg; teenima; jõgis; andres; teater; estonia
6,7,7,6,3,5,6,6,0,12,leiba; köster; näitleja; loorberipärg; teenima; jõgis; andres; teater; estonia
7,7,9,6,3,6,5,6,0,12,leiba; andres; köster; näitleja; teenima; jõgis; loorberipärg; teater; estonia
6,5,9,6,4,6,5,5,0,12,leiba; andres; köster; näitleja; teenima; jõgis; loorberipärg; teater; estonia
2,4,8,4,3,6,6,6,0,12,leiba; andres; köster; näitleja; teenima; jõgis; loorberipärg; teater; estonia
3,6,6,4,3,7,6,8,0,12,leiba; andres; köster; näitleja; teenima; jõgis; loorberipärg; teater; estonia
3,6,6,4,4,7,7,7,0,12,leiba; andres; köster; näitleja; teenima; jõgis; loorberipärg; teater; estonia
2,3,6,4,3,8,8,8,0,12,leiba; andres; köster; näitleja; teenima; jõgis; loorberipärg; teater; estonia
