EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,7,8,4,7,9,5,0,15,olde; võistkond; paul; turniir; partii; keres; eesti; kilingi-nõmme; hendrik; maletaja; klubi; malering
10,11,7,9,4,7,9,5,0,15,olde; võistkond; paul; turniir; partii; keres; eesti; kilingi-nõmme; hendrik; maletaja; klubi; malering
10,9,8,9,4,7,9,5,0,15,olde; võistkond; paul; turniir; partii; keres; eesti; kilingi-nõmme; hendrik; maletaja; klubi; malering
10,10,8,9,6,8,10,5,0,15,olde; võistkond; paul; turniir; partii; keres; eesti; kilingi-nõmme; hendrik; maletaja; klubi; malering
10,10,7,9,8,8,10,5,0,15,olde; võistkond; paul; turniir; partii; keres; eesti; kilingi-nõmme; hendrik; maletaja; klubi; malering
8,10,8,9,8,7,10,5,0,15,olde; võistkond; paul; turniir; partii; keres; eesti; kilingi-nõmme; hendrik; maletaja; klubi; malering
5,9,9,9,7,11,10,5,0,15,olde; võistkond; paul; turniir; partii; keres; eesti; kilingi-nõmme; hendrik; maletaja; klubi; malering
4,7,10,7,7,8,10,5,0,15,olde; võistkond; paul; turniir; partii; keres; eesti; kilingi-nõmme; hendrik; maletaja; klubi; malering
5,5,10,7,6,11,7,5,0,15,olde; võistkond; paul; turniir; partii; keres; eesti; kilingi-nõmme; hendrik; maletaja; klubi; malering
4,6,11,6,6,9,9,7,0,15,olde; võistkond; paul; turniir; partii; keres; eesti; kilingi-nõmme; hendrik; maletaja; klubi; malering
2,6,10,5,7,9,7,7,0,15,olde; võistkond; paul; turniir; partii; keres; eesti; kilingi-nõmme; hendrik; maletaja; klubi; malering
