EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,5,4,2,3,3,5,3,11,kuritegevus; kristjan; epideemia; port; sihtrühm
5,3,5,4,2,3,3,5,3,11,kuritegevus; kristjan; epideemia; port; sihtrühm
5,3,5,4,2,3,3,5,3,11,kuritegevus; kristjan; epideemia; port; sihtrühm
5,3,5,4,2,3,3,5,3,11,kuritegevus; kristjan; epideemia; port; sihtrühm
5,3,5,4,4,3,3,5,4,11,kuritegevus; kristjan; epideemia; port; sihtrühm
5,3,5,4,5,4,3,5,4,11,kuritegevus; kristjan; epideemia; port; sihtrühm
5,3,5,5,5,4,5,5,4,11,kuritegevus; kristjan; epideemia; port; sihtrühm
4,4,5,4,5,4,4,5,4,11,kuritegevus; kristjan; epideemia; port; sihtrühm
4,3,5,4,5,5,3,5,5,11,kuritegevus; kristjan; epideemia; port; sihtrühm
3,5,5,4,5,5,3,5,4,11,kuritegevus; kristjan; epideemia; port; sihtrühm
3,5,5,4,5,5,4,5,4,11,kuritegevus; kristjan; epideemia; port; sihtrühm
