EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,7,5,4,5,8,5,0,10,film; loosung; toimetus; saade; režissöör; raadio; kirjandus; televisioon
7,5,8,5,4,5,8,5,0,10,film; loosung; toimetus; saade; režissöör; raadio; kirjandus; televisioon
7,6,8,5,4,5,8,5,0,10,film; loosung; toimetus; saade; režissöör; raadio; kirjandus; televisioon
8,6,8,5,5,5,8,5,0,10,film; loosung; toimetus; saade; režissöör; raadio; kirjandus; televisioon
8,6,7,6,5,6,7,5,0,10,film; loosung; toimetus; saade; režissöör; raadio; kirjandus; televisioon
8,6,7,6,6,7,7,4,0,10,film; loosung; toimetus; saade; režissöör; raadio; kirjandus; televisioon
6,5,6,8,5,6,7,4,0,10,film; loosung; toimetus; saade; raadio; režissöör; kirjandus; televisioon
5,6,7,5,4,7,7,4,0,10,film; loosung; toimetus; saade; režissöör; raadio; kirjandus; televisioon
3,6,6,6,4,7,7,5,0,10,film; loosung; toimetus; saade; raadio; režissöör; kirjandus; televisioon
2,6,8,7,5,6,7,4,0,10,film; loosung; toimetus; saade; režissöör; raadio; kirjandus; televisioon
1,6,7,7,6,7,7,5,0,10,film; loosung; toimetus; saade; raadio; režissöör; kirjandus; televisioon
