EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,9,6,7,3,7,5,7,0,16,üro; hindpere; ukraina; hans; nädal; julgeolekunõukogu; karjatse; restoranide; tõnu
5,9,6,7,4,7,6,6,0,16,üro; hindpere; ukraina; hans; nädal; julgeolekunõukogu; karjatse; restoranide; tõnu
5,9,7,7,4,7,8,6,0,16,üro; hindpere; ukraina; hans; nädal; julgeolekunõukogu; karjatse; restoranide; tõnu
5,9,6,8,4,7,8,6,0,16,üro; hindpere; ukraina; hans; nädal; julgeolekunõukogu; karjatse; restoranide; tõnu
5,8,8,8,5,6,8,5,0,16,üro; hindpere; ukraina; hans; nädal; julgeolekunõukogu; karjatse; restoranide; tõnu
5,8,8,8,5,7,7,5,0,16,üro; hindpere; ukraina; hans; nädal; julgeolekunõukogu; karjatse; restoranide; tõnu
8,8,7,5,5,8,7,5,0,16,üro; hindpere; ukraina; hans; nädal; julgeolekunõukogu; karjatse; restoranide; tõnu
4,7,9,7,6,4,8,5,0,16,üro; hindpere; ukraina; hans; nädal; julgeolekunõukogu; karjatse; restoranide; tõnu
3,8,8,7,5,4,7,4,0,16,üro; hindpere; ukraina; hans; nädal; julgeolekunõukogu; karjatse; restoranide; tõnu
5,7,6,8,5,3,7,5,0,16,üro; hindpere; ukraina; hans; nädal; julgeolekunõukogu; karjatse; restoranide; tõnu
5,7,9,8,5,4,5,6,0,16,üro; hindpere; ukraina; hans; nädal; julgeolekunõukogu; karjatse; restoranide; tõnu
