EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,6,4,5,5,6,0,12,nsv; teatritrupp; näitlejad; draamatrupp; sõprus; tšehhoslovakkia
6,6,6,6,5,5,5,6,0,12,nsv; teatritrupp; näitlejad; draamatrupp; sõprus; tšehhoslovakkia
6,6,6,6,5,5,5,6,0,12,nsv; teatritrupp; näitlejad; draamatrupp; sõprus; tšehhoslovakkia
6,6,6,6,5,5,6,6,0,12,nsv; teatritrupp; näitlejad; draamatrupp; sõprus; tšehhoslovakkia
6,6,6,6,6,5,6,6,0,12,nsv; teatritrupp; näitlejad; draamatrupp; sõprus; tšehhoslovakkia
6,6,6,6,6,6,6,6,0,12,nsv; teatritrupp; näitlejad; draamatrupp; sõprus; tšehhoslovakkia
6,6,6,6,6,5,6,6,0,12,nsv; teatritrupp; näitlejad; draamatrupp; sõprus; tšehhoslovakkia
6,6,6,6,6,6,6,6,0,12,nsv; teatritrupp; näitlejad; draamatrupp; sõprus; tšehhoslovakkia
6,6,6,6,6,6,6,6,0,12,nsv; teatritrupp; näitlejad; draamatrupp; sõprus; tšehhoslovakkia
6,6,6,6,6,6,6,6,0,12,nsv; teatritrupp; näitlejad; draamatrupp; sõprus; tšehhoslovakkia
6,6,6,6,6,6,6,6,0,12,nsv; teatritrupp; näitlejad; draamatrupp; sõprus; tšehhoslovakkia
