EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,5,1,2,4,3,4,2,13,paul; rahu; kliima; toomas; nälg; sõda
4,5,5,1,2,4,3,5,2,13,paul; rahu; toomas; kliima; nälg; sõda
5,5,5,1,2,4,3,5,2,13,paul; rahu; kliima; toomas; nälg; sõda
6,4,5,2,1,4,3,5,2,13,paul; rahu; kliima; toomas; nälg; sõda
6,4,3,2,3,4,3,5,2,13,paul; rahu; kliima; toomas; nälg; sõda
6,4,4,4,3,4,2,5,2,13,paul; rahu; kliima; toomas; nälg; sõda
4,2,2,2,4,5,5,3,2,13,paul; rahu; toomas; kliima; nälg; sõda
2,3,2,2,4,4,4,5,4,13,paul; rahu; toomas; kliima; nälg; sõda
1,3,4,3,3,3,4,3,4,13,paul; rahu; toomas; kliima; nälg; sõda
2,3,3,4,3,4,5,3,2,13,paul; rahu; kliima; toomas; nälg; sõda
2,4,5,4,3,3,5,4,4,13,paul; rahu; toomas; kliima; nälg; sõda
