EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,2,6,2,3,3,5,0,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
7,5,2,6,2,3,4,5,0,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
7,5,4,6,2,3,5,5,0,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
7,5,6,5,1,3,5,5,0,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
7,6,5,6,2,4,6,4,0,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
4,6,7,5,2,6,7,4,0,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
3,6,8,5,3,6,6,4,0,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
6,6,7,5,3,7,5,3,0,11,jüri; kiirabi; salmre; meresaade; rannavalve; tuukrikaater; kaart; kiirkaater
5,3,8,4,6,7,7,3,0,11,kiirabi; jüri; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
6,5,5,4,6,5,8,1,0,11,kiirabi; jüri; salmre; meresaade; rannavalve; tuukrikaater; kaart; kiirkaater
6,2,7,4,7,7,7,3,0,11,kiirabi; jüri; salmre; meresaade; rannavalve; tuukrikaater; kaart; kiirkaater
