EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,11,10,11,4,10,13,8,0,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
12,11,11,11,4,10,13,8,0,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
12,11,9,11,4,10,14,8,0,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
11,10,7,11,4,10,14,9,0,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
11,12,8,12,4,9,15,10,0,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; anders; kunstnike; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
13,12,9,11,4,9,15,9,0,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; kunstnike; anders; kunstnik; kunstimuuseum; liit; kriitik; härm; publik; võim; kuraator
6,9,7,13,6,9,15,9,0,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; kunstnike; kunstnik; liit; kunstimuuseum; kriitik; kuraator; härm; publik; võim; anders
7,9,11,11,9,6,14,9,0,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
7,10,9,11,10,8,11,10,0,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
7,9,7,11,11,8,13,11,0,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
7,9,8,11,13,7,12,9,0,16,institutsioon; maria-kristiina; sümboolne; kunstimaailm; soomre; reaalne; kunstnike; anders; kunstnik; liit; kunstimuuseum; kriitik; härm; publik; võim; kuraator
