EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,6,3,1,6,7,4,0,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
5,5,6,3,1,6,8,4,0,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
6,5,6,3,1,6,8,4,0,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
6,5,6,5,1,6,7,4,0,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
6,5,6,5,1,6,7,4,0,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
5,5,6,5,2,6,8,4,0,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
5,5,5,6,5,5,7,5,0,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
3,5,4,4,3,5,7,5,0,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
3,4,5,5,5,6,6,5,0,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
3,3,4,4,5,6,3,4,0,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
4,3,3,4,7,5,4,4,0,13,eelarve; erakond; talve; muusikafestival; brüssel; 4000; tanel; luksemburg
