EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,7,7,4,7,9,7,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
9,8,8,7,5,7,9,7,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
9,9,8,8,5,8,8,7,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
9,9,8,8,5,9,9,7,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
9,9,9,8,7,8,9,7,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
9,9,8,9,8,9,9,8,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
8,9,9,9,8,8,9,8,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
8,9,9,9,7,9,9,8,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
8,9,9,9,8,9,9,8,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
9,9,9,9,9,9,9,9,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
9,9,9,9,9,9,9,9,0,12,uukkivi; tema; kinni; tuisk; isa; torm; poeg; käsi; ivo
