EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,5,6,2,5,7,5,0,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; kontsert; klassika; stoppard; elmo; nüganen; kärner; utoopia; revolutsionäär
8,7,5,7,2,6,7,5,0,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; kontsert; klassika; stoppard; elmo; nüganen; kärner; utoopia; revolutsionäär
8,7,6,7,2,7,8,5,0,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; kontsert; klassika; stoppard; elmo; nüganen; kärner; utoopia; revolutsionäär
7,9,6,7,3,8,8,4,0,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; klassika; kontsert; stoppard; elmo; nüganen; kärner; utoopia; revolutsionäär
8,8,7,7,3,7,6,4,0,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; kontsert; klassika; stoppard; nüganen; elmo; kärner; utoopia; revolutsionäär
6,9,9,7,5,8,8,4,0,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; klassika; kontsert; stoppard; elmo; nüganen; revolutsionäär; utoopia; kärner
8,8,10,7,6,9,8,4,0,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; kontsert; klassika; stoppard; nüganen; elmo; revolutsionäär; utoopia; kärner
7,6,11,6,5,8,10,5,0,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; klassika; kontsert; stoppard; nüganen; elmo; revolutsionäär; utoopia; kärner
7,5,9,6,8,6,9,5,0,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; klassika; kontsert; stoppard; nüganen; elmo; revolutsionäär; utoopia; kärner
6,4,10,6,7,6,10,5,0,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; kontsert; klassika; stoppard; nüganen; elmo; revolutsionäär; utoopia; kärner
6,6,11,5,9,4,10,7,0,14,tsivilisatsioon; kaja; kapitalism; tammsaare; teater; kontsert; klassika; stoppard; nüganen; elmo; revolutsionäär; utoopia; kärner
