EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,7,10,4,5,3,9,8,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; bänd; meister
9,8,7,10,4,7,3,9,8,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; bänd; meister
9,9,7,10,4,7,3,10,8,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; bänd; meister
10,10,9,10,4,8,5,11,8,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; bänd; meister
7,10,8,10,5,8,7,12,8,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; bänd; meister
7,10,8,10,6,7,5,10,8,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; bänd; meister
9,7,9,8,8,8,5,11,8,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; meister; bänd
6,7,8,7,10,7,6,11,8,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; meister; bänd
9,8,8,8,9,9,6,11,8,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; meister; bänd
6,8,8,8,9,7,6,11,9,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; meister; bänd
5,8,5,8,9,9,7,10,8,13,erik; intervjuu; parmupill; morna; kristo; festival; eurosonic; artist; rajasaare; jaan; meister; bänd
