EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,14,11,8,4,9,10,9,0,16,pianiino; maret; tiibklaver; alo; ja; põldmäe; tomson; klaver; tsentraliseerimine; eesti; klaverimeister; teatri-; muusikamuuseum; klaveriehitus; estonia
11,14,11,8,3,10,10,9,0,16,pianiino; maret; tiibklaver; alo; ja; põldmäe; tomson; klaver; tsentraliseerimine; eesti; klaverimeister; teatri-; muusikamuuseum; klaveriehitus; estonia
12,13,10,7,3,10,11,9,0,16,pianiino; maret; tiibklaver; alo; ja; põldmäe; tomson; klaver; tsentraliseerimine; eesti; klaverimeister; teatri-; muusikamuuseum; klaveriehitus; estonia
12,13,10,9,3,10,12,9,0,16,pianiino; maret; tiibklaver; alo; ja; põldmäe; tomson; klaver; tsentraliseerimine; eesti; klaverimeister; teatri-; muusikamuuseum; klaveriehitus; estonia
12,13,11,9,5,11,13,9,0,16,pianiino; maret; tiibklaver; alo; ja; põldmäe; tomson; klaver; tsentraliseerimine; eesti; klaverimeister; teatri-; muusikamuuseum; klaveriehitus; estonia
9,12,13,12,7,14,14,9,0,16,pianiino; tiibklaver; maret; alo; ja; põldmäe; tomson; klaver; tsentraliseerimine; eesti; klaverimeister; teatri-; muusikamuuseum; klaveriehitus; estonia
11,12,13,12,10,11,14,7,0,16,pianiino; tiibklaver; maret; alo; ja; põldmäe; tomson; klaver; tsentraliseerimine; eesti; klaverimeister; teatri-; muusikamuuseum; klaveriehitus; estonia
10,9,12,11,9,10,14,8,0,16,pianiino; maret; tiibklaver; alo; ja; põldmäe; tomson; klaver; tsentraliseerimine; eesti; klaverimeister; teatri-; muusikamuuseum; klaveriehitus; estonia
9,10,9,9,10,8,12,8,0,16,pianiino; tiibklaver; maret; alo; ja; põldmäe; tomson; klaver; tsentraliseerimine; eesti; teatri-; klaverimeister; muusikamuuseum; klaveriehitus; estonia
7,10,10,9,10,8,12,10,0,16,pianiino; tiibklaver; maret; alo; ja; põldmäe; tomson; klaver; tsentraliseerimine; eesti; teatri-; klaverimeister; muusikamuuseum; klaveriehitus; estonia
6,9,10,8,11,8,11,8,0,16,pianiino; tiibklaver; maret; alo; ja; põldmäe; tomson; klaver; tsentraliseerimine; eesti; teatri-; klaverimeister; muusikamuuseum; klaveriehitus; estonia
