EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,8,7,2,7,8,8,0,13,komisjon; rahvakultuurifestival; salme; janek; tartu; euro; laevaliiklus; euroopa; ants
8,8,8,7,2,7,8,8,0,13,komisjon; rahvakultuurifestival; salme; janek; tartu; euro; laevaliiklus; euroopa; ants
8,8,8,7,2,7,8,8,0,13,komisjon; rahvakultuurifestival; salme; janek; tartu; euro; laevaliiklus; euroopa; ants
8,8,9,7,2,6,8,8,0,13,komisjon; rahvakultuurifestival; salme; janek; tartu; euro; laevaliiklus; euroopa; ants
8,7,9,8,2,7,9,8,0,13,komisjon; rahvakultuurifestival; salme; janek; tartu; euro; laevaliiklus; euroopa; ants
9,7,9,7,3,8,9,8,0,13,komisjon; salme; rahvakultuurifestival; janek; tartu; euro; laevaliiklus; euroopa; ants
7,7,9,8,6,7,8,8,0,13,komisjon; rahvakultuurifestival; salme; janek; tartu; euro; laevaliiklus; euroopa; ants
6,8,8,6,6,6,9,8,0,13,komisjon; salme; rahvakultuurifestival; janek; tartu; euro; laevaliiklus; euroopa; ants
5,6,8,6,7,6,8,8,0,13,komisjon; rahvakultuurifestival; salme; janek; tartu; euro; laevaliiklus; euroopa; ants
5,6,8,6,9,8,8,9,0,13,komisjon; rahvakultuurifestival; salme; janek; tartu; euro; laevaliiklus; euroopa; ants
4,6,8,8,9,8,8,9,0,13,komisjon; rahvakultuurifestival; salme; janek; tartu; euro; laevaliiklus; euroopa; ants
