EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,6,4,8,3,5,5,6,5,12,sõstar; kersti; keeleoskus; innove; võõrkeel; kolmkeelsus; uuring; keelepoliitika; euroopa
9,6,5,7,3,5,5,6,5,12,sõstar; kersti; keeleoskus; innove; võõrkeel; kolmkeelsus; uuring; keelepoliitika; euroopa
8,6,5,7,3,7,6,6,5,12,sõstar; kersti; keeleoskus; innove; võõrkeel; kolmkeelsus; uuring; keelepoliitika; euroopa
8,6,5,6,3,6,6,6,4,12,sõstar; kersti; keeleoskus; innove; võõrkeel; kolmkeelsus; uuring; keelepoliitika; euroopa
8,5,6,6,3,7,6,5,4,12,sõstar; kersti; keeleoskus; innove; võõrkeel; kolmkeelsus; uuring; keelepoliitika; euroopa
8,5,8,6,3,6,6,7,4,12,sõstar; kersti; keeleoskus; innove; võõrkeel; kolmkeelsus; uuring; keelepoliitika; euroopa
4,4,7,4,3,7,8,5,4,12,sõstar; kersti; keeleoskus; innove; kolmkeelsus; võõrkeel; keelepoliitika; uuring; euroopa
2,4,6,3,3,7,7,5,4,12,sõstar; kersti; keeleoskus; innove; võõrkeel; kolmkeelsus; keelepoliitika; uuring; euroopa
3,4,8,3,2,6,7,7,4,12,sõstar; kersti; keeleoskus; innove; võõrkeel; kolmkeelsus; uuring; keelepoliitika; euroopa
2,4,7,3,1,6,6,5,6,12,sõstar; kersti; keeleoskus; innove; võõrkeel; kolmkeelsus; uuring; keelepoliitika; euroopa
2,4,7,3,4,6,4,5,5,12,sõstar; kersti; keeleoskus; innove; võõrkeel; kolmkeelsus; keelepoliitika; uuring; euroopa
