EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,2,2,2,0,4,3,0,11,piloot; leningrad; eesti; volga
3,1,2,2,2,0,4,3,0,11,piloot; leningrad; eesti; volga
3,1,3,2,2,0,4,3,0,11,piloot; leningrad; eesti; volga
3,1,3,3,3,1,4,3,0,11,piloot; leningrad; eesti; volga
3,1,3,3,3,0,4,3,0,11,piloot; leningrad; eesti; volga
3,2,3,3,3,3,4,3,0,11,piloot; leningrad; eesti; volga
2,3,2,3,2,2,3,3,0,11,piloot; leningrad; eesti; volga
3,3,2,3,3,3,1,3,0,11,piloot; leningrad; eesti; volga
2,3,4,2,3,3,2,2,0,11,piloot; leningrad; eesti; volga
3,2,3,2,3,2,1,1,0,11,piloot; leningrad; eesti; volga
2,2,1,2,3,3,1,1,0,11,piloot; leningrad; eesti; volga
