EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,3,5,5,3,6,4,0,15,süsteem; tohuvabohu; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
9,10,4,6,5,3,7,4,0,15,süsteem; tohuvabohu; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
8,10,3,6,5,5,7,4,0,15,süsteem; tohuvabohu; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
8,9,4,6,5,5,7,4,0,15,kaplinski; eesti; süsteem; tohuvabohu; kõnekeel; isereguleeruv; keel; jaan; alaväärsustunne; tühi-tähi; hägusus; keelevaist
8,9,3,6,6,4,7,4,0,15,süsteem; tohuvabohu; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
10,10,6,7,7,7,8,4,0,15,süsteem; tohuvabohu; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
6,9,6,8,7,7,7,4,0,15,tohuvabohu; süsteem; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
5,10,11,9,7,6,9,4,0,15,tohuvabohu; süsteem; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
4,6,10,10,8,7,10,4,0,15,tohuvabohu; süsteem; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
4,6,9,7,10,6,10,3,0,15,tohuvabohu; süsteem; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
3,5,11,7,8,8,9,5,0,15,tohuvabohu; süsteem; isereguleeruv; tühi-tähi; keelevaist; kaplinski; eesti; kõnekeel; jaan; keel; alaväärsustunne; hägusus
