EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,5,6,1,4,7,4,0,15,peeter; rahulolu; majanduskriis; salme; janek; kultuurisõber; volkov; rõivafirma; klaasikunstnik; baltika
6,6,5,6,1,6,7,4,0,15,peeter; rahulolu; majanduskriis; salme; janek; kultuurisõber; volkov; rõivafirma; klaasikunstnik; baltika
6,8,7,6,1,6,8,4,0,15,peeter; rahulolu; majanduskriis; salme; janek; kultuurisõber; volkov; rõivafirma; klaasikunstnik; baltika
6,7,9,6,1,7,8,4,0,15,majanduskriis; salme; volkov; klaasikunstnik; baltika; peeter; rahulolu; janek; kultuurisõber; rõivafirma
6,7,9,6,1,9,9,4,0,15,majanduskriis; salme; volkov; klaasikunstnik; baltika; peeter; rahulolu; janek; kultuurisõber; rõivafirma
7,8,9,5,3,9,9,4,0,15,majanduskriis; salme; volkov; klaasikunstnik; baltika; rahulolu; peeter; janek; kultuurisõber; rõivafirma
5,6,10,6,2,8,9,4,0,15,majanduskriis; salme; volkov; klaasikunstnik; baltika; peeter; rahulolu; janek; kultuurisõber; rõivafirma
5,9,10,4,3,8,8,5,0,15,majanduskriis; salme; volkov; klaasikunstnik; baltika; peeter; rahulolu; janek; kultuurisõber; rõivafirma
5,7,9,4,5,6,8,4,0,15,peeter; rahulolu; majanduskriis; salme; janek; kultuurisõber; volkov; klaasikunstnik; rõivafirma; baltika
6,7,8,4,7,7,8,3,0,15,peeter; rahulolu; majanduskriis; salme; janek; kultuurisõber; volkov; klaasikunstnik; rõivafirma; baltika
7,5,7,4,8,6,8,5,0,15,rahulolu; peeter; majanduskriis; salme; janek; kultuurisõber; volkov; klaasikunstnik; rõivafirma; baltika
