EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,3,3,4,3,3,3,0,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
6,5,3,3,4,4,5,3,0,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
6,5,4,3,4,4,6,3,0,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
6,4,4,4,3,4,6,3,0,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
6,4,4,4,3,4,6,3,0,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
7,4,5,4,3,4,6,4,0,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
6,5,4,4,3,5,6,5,0,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
2,5,5,3,3,4,7,4,0,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
1,3,6,3,4,5,5,4,0,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
1,3,5,3,6,6,4,4,0,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
1,5,3,3,4,6,6,4,0,15,helgi; rothschild; erilaid; paruness; fantaasiapidu; loss; värvitoon
