EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,6,2,3,3,6,5,0,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
5,6,7,2,3,3,6,5,0,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
5,6,6,2,3,5,6,5,0,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
5,6,7,3,3,5,5,5,0,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
6,7,7,4,3,7,4,5,0,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
7,5,6,4,3,5,4,5,0,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
7,6,6,5,4,7,6,5,0,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
8,4,6,5,6,6,4,4,0,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
7,3,5,5,5,7,6,4,0,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
8,4,4,5,5,7,4,5,0,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
8,4,4,5,5,5,4,6,0,10,kirjutama; koguja; isa; raamat; inimene; raamatukogu; ema; käekiri
