EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,11,9,4,6,5,8,8,0,14,teadus; üliintellekt; filosoofia; jüri; tehnoloogiline; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
8,11,8,4,6,4,9,8,0,14,teadus; üliintellekt; filosoofia; jüri; tehnoloogiline; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
8,10,8,4,6,4,10,8,0,14,teadus; üliintellekt; filosoofia; jüri; tehnoloogiline; vaim; kunstnik; püha; religioon; teadvus; usutunne; usklik; arrak
7,9,7,4,6,4,9,8,0,14,teadus; üliintellekt; filosoofia; jüri; tehnoloogiline; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
4,9,7,4,6,4,8,9,0,14,teadus; üliintellekt; filosoofia; jüri; tehnoloogiline; vaim; kunstnik; püha; religioon; teadvus; usutunne; usklik; arrak
5,9,6,4,6,5,8,9,0,14,teadus; üliintellekt; filosoofia; jüri; tehnoloogiline; vaim; kunstnik; püha; religioon; teadvus; usutunne; usklik; arrak
6,10,7,9,8,4,9,7,0,14,teadus; üliintellekt; filosoofia; jüri; tehnoloogiline; vaim; kunstnik; püha; religioon; teadvus; usutunne; usklik; arrak
6,8,7,8,9,8,9,8,0,14,teadus; üliintellekt; filosoofia; jüri; tehnoloogiline; vaim; kunstnik; püha; religioon; teadvus; usutunne; usklik; arrak
5,8,8,7,8,6,8,9,0,14,teadus; üliintellekt; filosoofia; jüri; tehnoloogiline; vaim; kunstnik; püha; arrak; teadvus; usutunne; usklik; religioon
4,6,8,8,10,8,9,9,0,14,teadus; üliintellekt; jüri; filosoofia; tehnoloogiline; vaim; kunstnik; püha; religioon; teadvus; usutunne; usklik; arrak
4,9,6,8,7,6,6,9,0,14,teadus; üliintellekt; jüri; filosoofia; tehnoloogiline; vaim; kunstnik; püha; religioon; teadvus; usutunne; usklik; arrak
