EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,8,6,7,8,7,8,8,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
9,9,8,6,7,8,7,8,8,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
9,9,8,6,8,8,8,8,8,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
9,9,8,5,8,8,8,8,8,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
9,9,9,6,8,8,8,8,8,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
9,9,9,6,8,8,9,8,8,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
9,9,8,9,9,7,9,8,8,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
7,9,9,9,9,9,9,9,8,12,võistlus; naisekandmine; birgit; ulrich; uusorg; margo; eesti; soome; vesi
6,9,9,9,9,9,9,9,9,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
8,9,8,9,9,9,9,9,9,12,uusorg; margo; võistlus; eesti; soome; naisekandmine; vesi; birgit; ulrich
7,9,9,9,9,9,9,9,9,12,võistlus; naisekandmine; birgit; ulrich; uusorg; margo; eesti; soome; vesi
