EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,3,4,1,2,2,3,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
3,4,3,4,1,2,2,3,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
3,4,3,4,0,2,2,3,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
3,4,3,4,0,2,3,3,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
3,4,3,4,0,2,3,2,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
3,4,4,4,1,3,4,3,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
2,3,3,4,2,2,4,3,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
2,3,4,2,2,4,4,2,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
4,3,4,2,3,4,4,2,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
3,3,4,2,3,4,4,4,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
3,3,4,2,4,4,4,4,0,10,hobi; klassikatähed; oboemängija; ebapopulaarne
