EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,9,9,7,8,8,8,0,14,herned; eva; katariina; ja; koldits; redel; kadri; ema; poiss
9,8,9,9,8,8,8,8,0,14,herned; eva; katariina; ja; koldits; redel; kadri; ema; poiss
8,8,9,8,8,8,8,8,0,14,herned; eva; katariina; ja; koldits; redel; kadri; ema; poiss
8,8,8,8,8,8,9,8,0,14,herned; eva; katariina; ja; koldits; redel; kadri; ema; poiss
8,8,9,8,9,8,8,8,0,14,herned; eva; katariina; ja; koldits; redel; kadri; ema; poiss
7,8,9,9,9,8,9,8,0,14,herned; eva; katariina; ja; koldits; redel; kadri; ema; poiss
8,9,8,8,9,8,8,8,0,14,herned; eva; katariina; ja; koldits; redel; ema; kadri; poiss
8,9,8,9,9,8,8,8,0,14,herned; eva; katariina; ja; koldits; redel; kadri; ema; poiss
9,9,8,9,8,8,8,9,0,14,herned; eva; katariina; ja; koldits; redel; kadri; ema; poiss
9,9,7,9,8,9,8,9,0,14,herned; eva; katariina; ja; koldits; redel; kadri; ema; poiss
9,9,8,9,8,8,8,8,0,14,herned; eva; katariina; ja; koldits; redel; kadri; ema; poiss
