EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,7,4,0,8,9,7,0,16,suurbritannia; marje; itaalia; josing; vare; eesti; venemaa; silvio; berlusconi; kai; inflatsioon
7,7,7,4,0,8,9,6,0,16,suurbritannia; marje; itaalia; josing; vare; eesti; venemaa; silvio; berlusconi; kai; inflatsioon
8,8,9,4,1,8,8,6,0,16,suurbritannia; marje; itaalia; josing; vare; eesti; venemaa; silvio; berlusconi; kai; inflatsioon
8,8,10,5,1,10,8,6,0,16,suurbritannia; marje; itaalia; josing; vare; eesti; venemaa; silvio; berlusconi; kai; inflatsioon
8,8,10,6,2,8,10,6,0,16,suurbritannia; marje; itaalia; josing; vare; eesti; venemaa; silvio; berlusconi; kai; inflatsioon
9,6,9,7,2,7,10,6,0,16,suurbritannia; marje; itaalia; josing; vare; eesti; venemaa; silvio; berlusconi; kai; inflatsioon
7,8,8,10,6,8,11,7,0,16,suurbritannia; marje; itaalia; josing; vare; eesti; venemaa; silvio; berlusconi; kai; inflatsioon
6,6,9,9,8,8,11,7,0,16,suurbritannia; marje; itaalia; josing; vare; eesti; venemaa; silvio; berlusconi; kai; inflatsioon
4,4,10,9,9,11,10,7,0,16,suurbritannia; marje; itaalia; josing; vare; eesti; venemaa; silvio; berlusconi; kai; inflatsioon
3,6,9,9,11,8,10,8,0,16,suurbritannia; marje; itaalia; josing; vare; eesti; venemaa; silvio; berlusconi; kai; inflatsioon
3,6,9,9,11,8,9,8,0,16,suurbritannia; marje; itaalia; josing; vare; eesti; venemaa; silvio; berlusconi; kai; inflatsioon
