EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,8,8,2,10,10,10,5,13,anders; kuraator; poliitiline; graafika; aleksander; tudengifilm; laimre; härm; kunstihoone; tartu
8,9,9,8,2,10,10,10,5,13,anders; kuraator; poliitiline; graafika; aleksander; tudengifilm; laimre; härm; kunstihoone; tartu
8,9,9,8,2,10,10,10,5,13,anders; kuraator; poliitiline; graafika; aleksander; tudengifilm; laimre; härm; kunstihoone; tartu
8,9,9,8,2,10,10,10,5,13,anders; kuraator; poliitiline; graafika; aleksander; tudengifilm; laimre; härm; kunstihoone; tartu
6,8,9,9,3,10,9,10,5,13,anders; kuraator; poliitiline; graafika; aleksander; tudengifilm; laimre; härm; kunstihoone; tartu
6,8,9,10,3,8,9,10,5,13,anders; kuraator; poliitiline; graafika; aleksander; tudengifilm; laimre; härm; kunstihoone; tartu
7,8,9,9,8,8,6,9,6,13,anders; kuraator; poliitiline; graafika; aleksander; tudengifilm; laimre; härm; kunstihoone; tartu
7,8,7,9,9,8,6,8,7,13,anders; kuraator; poliitiline; graafika; aleksander; tudengifilm; härm; laimre; kunstihoone; tartu
6,8,9,9,9,5,6,6,8,13,anders; kuraator; poliitiline; graafika; aleksander; tudengifilm; härm; laimre; kunstihoone; tartu
6,7,8,9,9,8,6,7,9,13,anders; kuraator; poliitiline; graafika; aleksander; tudengifilm; laimre; härm; kunstihoone; tartu
6,8,9,9,8,9,7,6,9,13,anders; kuraator; poliitiline; graafika; aleksander; tudengifilm; härm; laimre; kunstihoone; tartu
