EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,10,8,12,7,3,10,10,0,18,andrus; saar; komisjon; eelarve; ott; ansip; tulistamisjuhtum; euroopa; kristjan; ilves; abikaasa; indrek; päevakaja
8,10,8,12,7,3,10,10,0,18,andrus; saar; komisjon; eelarve; ott; ansip; tulistamisjuhtum; euroopa; kristjan; ilves; abikaasa; indrek; päevakaja
8,11,10,12,7,3,11,10,0,18,andrus; saar; komisjon; eelarve; ott; ansip; tulistamisjuhtum; euroopa; kristjan; ilves; abikaasa; indrek; päevakaja
9,11,10,12,7,4,11,10,0,18,andrus; saar; komisjon; eelarve; ott; ansip; tulistamisjuhtum; euroopa; kristjan; ilves; abikaasa; indrek; päevakaja
10,11,9,9,8,6,11,10,0,18,andrus; saar; komisjon; eelarve; ott; ansip; tulistamisjuhtum; euroopa; kristjan; ilves; abikaasa; indrek; päevakaja
5,10,10,8,8,8,10,9,0,18,andrus; komisjon; eelarve; ott; ansip; tulistamisjuhtum; euroopa; abikaasa; ilves; kristjan; päevakaja; indrek; saar
5,9,10,11,8,8,11,9,0,18,andrus; komisjon; eelarve; ott; ansip; tulistamisjuhtum; euroopa; indrek; kristjan; ilves; abikaasa; saar; päevakaja
5,10,9,8,10,8,10,9,0,18,andrus; komisjon; eelarve; ott; ansip; tulistamisjuhtum; euroopa; ilves; kristjan; abikaasa; päevakaja; indrek; saar
6,10,10,5,6,8,11,8,0,18,andrus; saar; eelarve; komisjon; ott; ansip; tulistamisjuhtum; euroopa; abikaasa; ilves; kristjan; indrek; päevakaja
5,8,11,5,10,9,9,8,0,18,andrus; komisjon; eelarve; ott; ansip; tulistamisjuhtum; euroopa; indrek; ilves; abikaasa; kristjan; saar; päevakaja
5,8,10,6,8,8,10,8,0,18,andrus; eelarve; komisjon; ott; ansip; tulistamisjuhtum; euroopa; indrek; ilves; kristjan; abikaasa; saar; päevakaja
