EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,4,5,3,3,4,5,5,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
5,5,4,5,3,3,5,5,5,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
5,5,4,5,3,3,5,5,5,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
5,5,5,5,3,3,5,5,5,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
5,5,5,5,3,4,5,4,5,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
5,5,5,5,3,4,4,4,5,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
5,5,4,5,2,4,4,5,5,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
5,5,5,5,3,4,4,5,5,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
5,5,5,5,3,4,4,4,5,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
5,4,5,5,5,4,4,4,5,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
5,4,5,5,5,4,4,4,5,10,lõuna-eesti; vana; suvepäev; tants; pillimäng
