EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,5,2,6,3,4,1,0,16,laps; kaklema; medell; varietee; sisemine; armastus; saaremaa; rituaal; ballaad; sirje
6,3,5,2,6,3,4,1,0,16,laps; kaklema; medell; varietee; sisemine; armastus; saaremaa; rituaal; ballaad; sirje
6,3,7,2,6,4,5,1,0,16,laps; kaklema; medell; varietee; sisemine; armastus; saaremaa; rituaal; ballaad; sirje
6,3,7,2,6,4,5,1,0,16,laps; kaklema; medell; varietee; sisemine; armastus; saaremaa; rituaal; ballaad; sirje
8,4,7,2,6,5,5,1,0,16,laps; kaklema; medell; varietee; sisemine; armastus; saaremaa; rituaal; ballaad; sirje
3,3,6,2,6,6,7,1,0,16,laps; kaklema; medell; varietee; sisemine; armastus; saaremaa; rituaal; ballaad; sirje
4,2,5,3,4,7,6,1,0,16,laps; kaklema; medell; varietee; sisemine; armastus; saaremaa; rituaal; ballaad; sirje
4,6,6,3,4,5,5,1,0,16,laps; kaklema; medell; varietee; sisemine; armastus; saaremaa; rituaal; ballaad; sirje
4,5,4,4,2,5,4,3,0,16,laps; kaklema; medell; varietee; sisemine; armastus; saaremaa; rituaal; ballaad; sirje
1,3,3,8,3,3,6,1,0,16,laps; kaklema; medell; varietee; sisemine; armastus; saaremaa; rituaal; ballaad; sirje
1,2,4,8,3,5,6,2,0,16,laps; kaklema; medell; varietee; sisemine; armastus; saaremaa; rituaal; ballaad; sirje
