EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,8,8,5,7,10,9,0,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
9,8,9,8,4,7,10,9,0,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
9,8,9,8,4,7,10,9,0,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
10,8,10,8,4,8,10,9,0,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
10,9,10,9,4,8,10,9,0,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
9,9,11,9,6,7,9,9,0,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
10,8,10,10,8,9,10,9,0,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
10,8,8,11,8,8,9,8,0,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
7,9,9,11,9,9,10,6,0,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
6,6,8,11,7,8,11,5,0,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
6,6,10,9,8,8,10,8,0,13,saepuru; toru; veehoidla; põllumajanduse; uno; eesti; buldooser; vesi; pauts; sügavus; ekskavaator
