EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,9,5,5,2,6,9,6,0,12,villem; kristus; ilus; proua; eduard; hobune; mõisavalitseja; mimmi; mõisnik; kubjas
6,9,5,5,3,6,9,6,0,12,villem; kristus; ilus; proua; eduard; hobune; mõisavalitseja; mimmi; mõisnik; kubjas
6,8,4,5,3,7,8,6,0,12,mimmi; villem; kristus; mõisavalitseja; ilus; proua; eduard; mõisnik; hobune; kubjas
8,7,6,5,3,6,8,6,0,12,mimmi; villem; kristus; mõisavalitseja; ilus; proua; eduard; mõisnik; hobune; kubjas
9,7,7,5,4,6,8,6,0,12,mimmi; villem; kristus; mõisavalitseja; ilus; proua; eduard; mõisnik; hobune; kubjas
9,7,5,6,6,8,8,6,0,12,mimmi; villem; kristus; mõisavalitseja; ilus; proua; eduard; mõisnik; hobune; kubjas
6,4,6,7,6,8,9,6,0,12,kristus; villem; ilus; proua; eduard; mõisavalitseja; hobune; mimmi; mõisnik; kubjas
6,5,6,7,6,6,7,6,0,12,villem; kristus; mõisavalitseja; ilus; kubjas; proua; eduard; mõisnik; hobune; mimmi
5,4,6,7,6,6,7,6,0,12,villem; kristus; hobune; ilus; kubjas; proua; eduard; mõisnik; mõisavalitseja; mimmi
4,4,8,7,7,5,6,6,0,12,villem; kristus; hobune; ilus; kubjas; proua; eduard; mõisnik; mõisavalitseja; mimmi
5,4,6,7,7,4,6,6,0,12,villem; kristus; hobune; kubjas; ilus; proua; eduard; mõisnik; mõisavalitseja; mimmi
